id,shape,color,cut,clarity,polish,symmetry,florescence
720,0,4,2,4,1,1,4
12924,0,2,2,5,2,2,4
41549,0,5,2,4,2,2,4
69006,2,2,1,4,1,0,3
5584,0,1,2,3,1,1,4
28735,4,1,1,5,2,1,4
84135,0,1,2,2,2,2,4
100352,0,0,2,2,2,2,2
23686,0,6,2,4,2,2,3
27246,0,3,2,0,1,2,4
21273,0,4,2,2,2,2,4
60788,7,4,1,0,2,0,4
64430,0,3,1,1,2,1,4
33758,0,4,1,3,2,1,4
64699,7,3,1,1,1,0,3
40003,0,5,2,2,2,2,4
78733,0,6,2,3,2,1,4
43251,0,5,2,3,2,2,4
62680,7,3,0,1,2,1,4
115279,0,5,2,6,2,2,4
71517,0,4,2,4,1,2,4
89247,0,4,2,0,1,2,3
17349,0,6,2,1,2,1,4
71757,5,5,1,3,2,1,3
79897,0,4,1,2,2,2,4
39555,0,5,2,1,2,2,4
14319,0,1,2,2,2,2,4
95710,0,0,2,2,2,2,3
11084,0,6,1,3,2,2,4
39271,4,3,0,4,2,1,4
12896,0,3,1,3,2,2,3
37551,0,5,2,5,2,2,4
83564,0,6,1,3,2,2,2
38781,0,6,2,2,2,2,4
110507,0,5,2,3,2,2,4
4996,0,1,1,2,1,1,4
58326,0,5,2,4,2,1,3
30274,1,3,1,3,2,2,4
53070,0,6,1,2,2,2,4
54136,7,6,1,2,1,1,4
81956,6,0,1,3,0,0,4
68919,0,6,2,1,2,2,4
91064,0,6,2,2,1,2,1
61412,8,5,3,3,2,1,4
10190,0,2,2,2,2,2,4
20944,0,3,2,6,2,2,3
104738,0,5,2,2,2,2,3
103630,6,4,1,1,2,1,4
107258,4,3,1,1,2,1,4
13922,0,6,1,1,2,1,2
68781,0,3,2,2,2,2,4
100142,0,4,2,1,2,2,1
17290,0,4,2,5,2,2,2
30081,0,4,2,1,2,2,4
103279,0,1,2,4,2,2,3
11063,0,3,1,3,1,1,4
70944,0,4,2,3,1,1,3
37007,0,3,2,3,2,2,4
30142,0,6,2,1,2,2,4
91206,2,5,1,1,2,1,2
45513,0,6,2,3,2,2,4
46865,0,1,2,2,2,2,1
41366,0,3,2,2,2,2,4
114648,0,6,2,6,2,2,0
58199,0,4,2,3,2,2,4
21113,0,4,2,3,2,2,4
66952,2,2,1,2,2,1,4
70484,3,6,1,3,1,1,4
34595,8,3,1,2,2,1,4
22736,0,2,2,2,1,2,2
24334,0,4,2,1,1,1,4
55650,0,4,2,4,2,2,2
35985,0,3,1,2,2,1,4
98839,0,6,2,1,1,2,1
24195,7,5,1,0,2,0,2
11116,0,5,2,2,2,1,4
97111,0,5,1,1,2,0,2
38549,0,5,1,0,2,1,2
49113,0,1,2,3,2,2,4
65442,9,3,1,3,1,1,1
71355,0,6,1,4,1,2,4
109016,0,3,2,4,2,2,4
